Time,Number of players,Total bets,Multiplier
1.32,12620,1142435.52,2.7
1.62,11391,1082857.54,2.5
1.15,11224,1074850.7,1.5
2.48,10215,973416.97,5.29
2.33,11814,1084031.29,8.51
5.31,11226,978730.95,1.21
1.78,11669,936336.2,16.85
1.54,10438,860496.08,1.22
5.64,10085,769350.2,8.51
3.94,11938,915733.11,6.1
1.72,11366,881924.42,24.11
3.46,10002,708491.43,6.1
1.15,11578,936416.63,1.89
1.18,10202,868923.98,2.7
2.45,9792,847882.63,1.22
1.52,11849,1076734.08,2.5
1.24,10773,918877.96,2.17
1.03,10500,935819.38,1.07
1.68,9221,912422.21,1.38
1.68,9694,1090172.19,1.96
1.21,0,1030059.91,2.7
2.02,8007,920750.62,2.5
5.36,9066,949935.49,1.11
1.49,9896,843965.45,1.52
2.24,8804,850209.08,1.81
2.97,9400,931366.5,1.21
3.99,8172,706263.9,2.37
3.91,9623,893791.6,1.96
1.28,9777,832782.73,1.49
2.05,8362,742900.68,1.9
1.46,9659,938877.28,1.5
6.6,8694,703175.8,1.38
2.37,10084,794430.27,2.5
1.57,9320,726933.36,1.89
1.81,8872,718725.81,1.02
1,10500,796949.75,2.5
1.34,9636,895909.99,2.37
4.85,8708,771071.15,2.19
1.19,10368,856932.27,1.5
1.15,8659,695669.18,1.04
2.94,7792,739128.68,1.15
3.39,9203,898492.86,6.1
18.83,8951,647570.3,1.49
30.43,9377,627146.6,1.07
1.98,9403,779226.08,1.49
1.41,8008,677271.53,1.33
1.04,10500,643403.28,1.38
1.33,7827,678243.08,2.76
1.02,10500,808839.86,1.38
3.86,8177,678352.36,2.37
2.49,10345,950726.01,1.38
11.23,9688,764564.16,1.28
1.42,10360,898937.49,1.52
2.21,8392,756467.89,6.68
1.07,10500,905417.33,9.25
4.19,8834,736329.19,1.02
1.47,10646,924485.99,1.9
1.65,9666,918921.07,1.02
2.72,9637,948922.57,5.42
3.61,10514,917798.35,1.6
1.73,10296,859499.56,5.21
1.13,9440,768140.19,1.15
1.06,10500,782169.7,24.11
1.04,10500,824682.75,1.22
1.65,8075,816069.49,29.02
1.05,10500,940205.86,1.04
1.01,10500,825640.96,3.87
1.12,10500,815363.09,5.21
1.79,5947,692701.24,1.21
2.36,7081,820227.59,1.6
2.29,7861,817917.04,7.92
2.54,7699,795278.22,1
1.97,7821,827163.39,8.51
3.27,7287,703057.84,1.17
34.46,8152,613431.28,5.21
2.04,8714,747035.26,1.5
1.28,7513,647877.79,1.11
2.33,6264,276257.94,1.5
1.05,10500,824720.67,1.72
1.08,10500,704521.62,8.51
1.72,6027,679341.7,6.1
2.05,7268,835874.67,2.17
2.39,7991,791974.08,29.02
1.76,8299,730806.56,3.62
1.37,7503,716520.72,1.9
1.46,6504,684040.33,1.6
1.78,6391,718530.6,1.96
2.62,7019,748812.27,23.38
3.09,8035,805474.94,1.33
4.08,8251,714627.13,1.22
4.98,8435,720121.53,1.6
4.73,8708,647093.27,1.11
4.23,8833,713608.16,1.21
1.25,9033,720185.04,1.15
3.75,6633,533555.6,29.02
3.52,9068,715768.36,1.02
1.34,9482,768465.81,2.7
9.24,7789,573805.22,1.96
1.32,9939,837369.76,2.19
23.29,8964,619062.69,16.85
1.27,9940,829975.81,1.21
1.15,8861,685494.41,1.15
11.95,7668,577123.74,1.23
1.01,10500,824457.29,3.87
2.29,8659,714837.76,1.02
1.35,9931,907112.94,2.5
3.37,9387,817193.12,16.85
1.44,10244,915832.61,2.37
2.41,9666,836288.62,1.02
1.21,10059,825575.14,16.85
1.36,9251,832950.56,1.33
1.16,8653,801944.92,1.81
1.08,10500,807530.66,3.01
1.53,7422,820336.6,8.51
2.47,7838,861552.16,1.11
1.61,8967,776797.46,1.21
1.61,8059,804484.92,29.02
2.34,7661,754514.69,1
2.17,8367,828523.48,1.04
2.74,8259,728857.72,1.28
1.65,8603,743299.66,1.9
1.65,7765,700546.74,3.62
6.55,7720,735516.99,1
1.16,9173,735612.38,1.29
3.62,7582,598459.27,1.33
1.65,8753,656133.89,1.11
4.78,8490,694586.47,24.11
2.92,8721,692401.95,1.9
2.78,8878,667885.67,19.47
2.16,9147,706617.89,1.17
2.03,8716,725144.48,16.85
1.21,8881,744878.53,5.29
4.63,7643,571254.88,1.38
24.59,9699,631381.96,5.21
1.21,9593,703048.86,1.15
1,10500,704630.64,5.42
4.53,8489,765406.4,1.07
1.35,10270,911690.63,3.01
5.08,9041,752417.57,1.49
3.01,9579,759804.69,1.04
1.19,9599,780413.68,1.9
2.2,8457,701571.87,24.11
1.36,9748,899691.15,1.89
2.53,9133,846841.82,1.02
1.65,9885,832133.5,2.19
25.05,9620,694728.4,2.17
1,10500,701876.07,29.02
9.24,8660,604582.15,5.42
1.81,9583,718211.21,1.02
2.98,9335,742245.45,1.33
1.71,9989,727820.37,2.19
1.74,9892,756923.55,1.29
3.05,10010,759648.27,2.5
6.3,10639,795576.69,1.02
2.32,10199,715326.19,5.21
1.11,10500,699894.69,1.81
1.21,8723,642321.84,3.87
1.83,8736,683172.8,1.72
1.47,10144,929710.61,1.17
15.18,9316,764457.34,2.19
1.76,10317,805239.54,1.81
3.55,9591,767776.85,1.07
1.22,9999,794380.83,1.33
1.97,8990,741982.7,3.87
1,10500,944821.53,1.96
1.35,10138,1018622.49,1.6
16.31,9150,810309.1,1.49
34.92,9686,712547.88,8.51
13.3,8860,620820.85,1.6
1.88,9289,666696.36,1.11
1.04,10500,622269.31,3.87
3.64,7044,605730.37,2.17
1.97,9842,810303.84,6.68
1.12,10500,751887.13,29.02
1.02,10500,687432.13,1.96
1.5,8835,760170.03,8.5
1.38,9060,852387.56,29.02
34.77,8588,769875.3,5.42
1.14,10522,802055.76,1.17
4.57,8629,647083.82,1.07
32.58,9544,646130.75,19.47
1.36,9248,637565.71,8.5
4.69,8100,541393.19,3.87
2.9,9981,758009.02,1.96
16.66,9531,620064.85,1.17
2.04,9882,656637.95,16.85
3.24,9326,629782.6,1.17
2.38,10716,761995.43,1
1.65,10492,767236.23,5.42
16.26,9666,636980.93,2.5
1.23,11034,787406.54,1.23
1,10500,713916.12,1.81
1,10500,902057.46,2.7
1.5,10305,922441.64,6.68
20.96,10320,816470.53,29.02
11,11586,822652.89,1.11
1.1,10500,788450.15,1.52
1.48,8283,626020.22,1.23
1.18,9195,841740.81,3.87
4.35,9197,781988.2,1.89
3.02,11585,944161.81,1.96
12.63,11250,793630.19,1.28
1.1,10500,763637.68,1.11
2.22,8504,642636.46,2.37
16.36,10746,809697.77,9.25
3.13,10956,734947.97,5.21
1.22,10363,743526.02,2.17
3.92,9013,651658.99,2.19
2.09,11594,885765.54,6.68
7.28,11246,813987.65,1.04
3.63,11638,791006.06,5.29
2.33,11235,857049.66,1.52
3.01,10840,791147.32,16.85
1.97,11807,928848.74,3.01
2.28,11082,901814.45,1.04
2.44,12165,1037862.32,3.87
1.27,12243,1051007.92,1.29
2.1,10781,864145.37,1.07
1.14,12049,1080790.03,1.5
2.91,10687,934538.48,8.5
1.02,10500,1099359.86,2.76
1.25,10868,998340.71,1.33
1.1,10500,994350.73,1.02
2.35,9147,855848.63,1.49
1.58,11068,1078223.99,1.5
1.23,9940,421944.08,1.52
15.79,8532,787331.18,2.7
4.6,10375,864739.74,2.37
2.84,9973,835453.59,1.5
3.96,9468,766539.97,3.62
1.81,10014,751987.91,7.92
1.12,10500,760706.1,3.62
2.7,7950,732963.42,29.02
1.09,10500,872923.95,2.5
2.71,9224,870740.66,5.29
4.89,10077,896796.74,1.72
3,10695,820452.82,2.7
2.12,10155,835673.69,1.96
1.22,9564,725066.1,19.47
1.3,8491,641205.06,16.85
18.13,8631,688920.99,1.38
1.5,10585,753846.87,2.37
1.02,10500,756393.2,1.6
1.83,8634,766732.78,1.17
1.01,10500,948439.25,19.47
1.04,10500,874670.34,1.6
1.15,7913,849612.89,2.5
3.66,7291,728021.89,5.29
1.08,10500,972386.04,1
3.55,7909,760557.88,1.9
3.23,8288,742131.52,1.33
1.59,9155,865784.42,1.23
3.22,7999,689659.8,1.15
1.05,10500,844510.34,1.02
1.28,7837,731707.75,7.92
9.98,7345,621735.48,24.11
1.58,9135,773258.37,3.87
2.19,8022,746859.32,1.33
1,10500,767158.87,1.52
1.18,7836,760561.39,2.19
5.22,7053,622087.01,1.22
24.16,8601,803975.79,3.01
2.16,8029,602207.8,1.29
1.48,7252,586101.42,2.17
1.53,6689,532989.9,1.89
1.15,7303,641365.64,2.7
3.73,6796,561118.07,5.21
9.28,8666,726974.82,1.89
1.03,10500,586287.44,1.72
1.27,6641,509338.2,1.9
1.21,6941,593284.52,1.52
1.01,10500,668348.32,1.22
4.06,7497,669663.49,2.19
4.13,9131,744243.38,1.02
2.5,8685,688803.32,1.28
2.53,7992,655629.08,1.38
1.01,10500,615131.66,1.02
1.46,6746,638051.87,1
5.27,7448,705142.44,1.23
1.13,9005,778142.82,1.28
3.02,7302,687357.8,2.7
1.1,10500,751826.58,5.29
1.19,7117,648391.92,16.85
8.27,6550,636157.32,6.68
2.33,8025,721005.59,8.51
1.42,7283,600987.16,1.11
2.75,6376,502250.88,1.96
1.98,7717,658546.23,1.17
2.01,7564,664405.34,1.07
1.72,7557,712120.63,1.15
1.58,7115,676473.99,3.87
1.47,6840,612903.28,1.11
3.9,6489,633689.15,1.38
5.03,7784,696389.61,1.38
1.41,7324,581782.56,5.21
1.5,6208,499734.84,9.25
1.34,6311,550924.87,1.6
12.03,6245,545249.63,7.92
1.45,7748,624292.59,2.17
1.24,6425,596429.85,1.89
1.47,5858,497236.56,1
3.26,6576,648075.04,5.29
1.2,7627,704159.19,1.33
1.1,10500,602952.54,8.51
1,10500,577927.13,1.72
1.46,6192,674250.58,3.01
1.88,6097,751857.23,2.19
1.42,6310,806416.97,1.52
1.36,5368,630149.8,19.47
1.13,4918,620983.74,1.28
1,10500,594603.36,5.42
3.56,4633,677154.76,1.23
1.01,10500,682431.11,1.29
1.18,4378,541443.6,1.04
1.8,3643,495825.2,1.6
8.53,4123,492584.71,8.51
1.15,5026,541727.57,1.52
2.81,3934,403758.82,3.01
3.95,4829,533874.92,6.68
1.48,5069,494512.38,1.29
7.22,4431,484729.98,1.52
3.82,5190,447394.26,1.89
14.39,5147,399264.79,2.19
1.07,10500,478859.44,2.17
2.96,4355,414436.19,16.85
22.53,5656,471787.81,1.9
2.88,5776,423707.13,24.11
2.12,5566,445626.36,3.87
5.61,5495,432370.75,8.5
7.42,6460,221325.57,1.49
2.61,6542,508274.56,3.87
1.05,10500,478781.52,8.5
5.05,5136,412832.17,1.49
2.5,7113,605950.43,1.02
1.55,6980,582376.31,1.81
1.54,6291,566156.37,1.49
3.29,6327,632182.17,8.5
5.45,7614,689915.77,1.72
1.13,7593,648640.82,2.19
7.83,6034,532370.73,6.68
2.06,7523,646196.8,7.92
2.02,7071,662674.48,1.89
1.51,7274,669792.61,1.15
1,10500,644603.22,7.92
5.34,7103,725505.2,16.85
4.09,8103,731796.94,7.92
1.77,7692,648148.36,3.87
3.88,6708,557848.78,1.9
6.1,7836,624794.16,29.02
2.97,7713,582412.07,1.72
1.6,7423,596723.17,1.07
4.97,6787,561958.86,8.51
1.19,8386,664259.41,1.23
1.91,7409,593046.44,1.11
20.29,7927,685057.49,1
12.87,8456,609125.6,1.96
1.5,8020,602185.02,24.11
7.22,6387,463147.37,8.5
1.17,8267,658166.3,1.23
3.38,7463,622909.08,3.87
1.92,8487,775521.92,3.62
2.53,8430,800969.18,1.15
17.65,8668,759501.62,3.87
1.63,8930,671631.02,2.76
1.38,8078,727952.44,1.81
1.07,10500,764654.97,7.92
2.14,7597,762237.96,8.5
1.02,10500,989212.43,16.85
1.72,8157,942480.75,7.92
2.5,8098,958596.97,1.11
1,10500,876859.57,1.23
1.29,8094,909122.43,1.96
1.47,6887,749821.62,2.17
6.96,6731,704194.25,23.38
2.63,8003,682352.45,2.5
3.68,7453,656260.52,1
1.21,7601,628377.3,1.5
8.74,6533,537661.82,1.9
1.39,7789,695575.73,6.1
2.05,7063,251998.81,3.62
25.07,7630,673360.04,2.19
2.35,7755,546112.35,1.22
27.65,6921,506540.58,2.5
1.01,10500,602964.49,1.96
1.1,10500,583500,1.52
2.1,5988,542237.7,1.81
1.43,8015,805190.44,1.9
2.46,7581,735447.6,1
2.02,8280,874565.98,1.22
1.49,8128,846126.31,1.21
1.97,7307,750769.51,2.76
1.66,7866,801876.38,19.47
1.04,10500,813956.1,5.42
1.3,6586,732424.18,1
25.64,6028,619047.17,1.11
1.01,10500,661663.4,1.28
15.56,6423,576460.25,8.5
1.1,10500,643473.27,1.33
2.27,6346,627795.94,1.04
1.69,6986,686760.73,1.81
2.15,6824,693307.67,1.15
1.66,7210,634316.69,2.7
1.04,10500,765774.86,2.76
1.15,6355,638241.58,1.52
1.53,5858,710334.61,19.47
3.35,6001,733351.7,1.04
1.94,6867,733410,2.37
1.68,6407,601530.55,3.01
20.66,6096,547084.48,1.9
3.54,6677,545170.82,2.5
1.36,6328,525915.25,1.11
1.9,5359,505843.16,1.81
2.89,6224,569845.79,2.5
2.68,7115,664452.49,2.19
5.64,7096,560128.07,1.11
2.8,7259,591256.34,1.89
4.7,6952,529151.95,7.92
1.28,7356,557599.63,1.17
1.12,10500,548309.51,1.28
1.28,5859,499081.14,8.51
2.27,6175,604243.37,2.17
5.56,7817,691957.83,1.15
3.33,7936,596734.1,1.17
3.12,7548,566311.17,9.25
14.59,7466,538788.11,3.87
2.7,7639,557895.71,6.68
2.12,7115,530243.52,1.89
1.32,7002,561848.63,5.21
1.01,10500,614044.08,1.5
1.15,0,643328.62,1.17
1.73,6306,629396.4,5.29
1.54,7287,734053.58,9.25
4.19,6855,682155.83,16.85
1.52,8230,680102.14,6.1
12.01,7292,633753.04,3.87
1.78,7801,618321.85,8.51
9.11,7252,564356.01,3.01
2.2,7550,520938.69,7.92
1.11,10500,551037.1,3.87
1.06,10500,503650.83,1.15
3.03,5841,490998.66,6.1
1.6,8053,705025.27,1.22
1.87,7434,672835.43,2.76
1.02,10500,641062.01,2.19
2.69,6555,578569.99,1.38
1.34,7594,677494.52,3.87
24.49,6482,577235.09,1.52
1.12,10500,514397.26,2.7
3.61,5975,483619.35,3.62
1.01,10500,529051.8,1.89
2.51,6149,508440.75,3.87
2.63,6678,561029.4,1.21
4.12,6873,509094.4,1.6
2.1,6957,520091.69,1
1.99,6589,483831.01,6.1
2.58,6379,522499.62,1.49
3.03,7100,568273.19,3.62
1.13,0,599914.33,1.11
3.83,6103,443714.24,24.11
1.17,7349,559836.66,5.21
1.22,6673,556142.08,8.51
1.36,6027,503454.28,1.89
10.96,5955,606351.7,1.72
3.31,7092,583712.88,1.07
1.77,6513,555325.36,2.5
5.2,6010,458018.17,1.96
1.73,6864,502141.47,3.87
3.22,6475,535590.83,23.38
2.44,6897,498413.61,1.49
1.02,10500,552077.48,5.21
1.09,10500,485539.71,5.42
10.22,5687,499704.03,1.9
1.18,7312,558055.26,1.38
12.33,6180,547102.36,5.21
9.43,6508,482020.26,1
4.09,6630,490101.56,1.29
1.03,10500,463915.44,1.11
1.44,5345,382459.87,1.38
1.21,5883,491881.45,1.15
23.16,6285,541239.29,1
1.05,10500,629521.94,19.47
1.54,6404,539243.7,19.47
1.7,6408,548609.27,1.81
1.05,10500,585636.13,1.23
2.52,6465,638492.77,2.17
2.52,7291,685844.59,1.17
1.05,10500,593786.72,1.15
2.39,6181,563975.95,1.5
1.25,6854,592467.72,1.17
9.06,5991,576524.11,2.17
1.41,6657,522919.1,1.72
1.02,10500,482831.82,1.04
21.08,5614,504920.68,2.76
1.1,10500,498333.01,23.38
1.26,5249,474097.7,1.33
1.34,5302,477330.71,1.89
1,10500,517499.22,7.92
2.3,5943,640949.76,1.22
1.23,6216,644520.5,1.89
1.93,5311,613884.96,1.21
2.55,5563,599519.84,7.92
9.38,5647,478139.91,1.6
32.46,5613,388620.97,1.89
1.67,5276,394859.51,23.38
1.43,4641,363409.88,1
11.15,4475,368829.25,1.38
4.26,5872,406323.74,1.49
1.96,5749,406687.71,1.6
2.71,5303,402593.12,8.5
2.87,6204,425739,1.02
22.53,6456,451818.91,1.02
1.97,6463,415217.82,2.5
1.21,5950,388839.43,29.02
3.85,5219,355314.59,1.89
7.94,7129,487898.05,1
1.13,6928,463857.45,1.5
14.15,5658,397148.08,1.89
2.75,6929,485860.07,9.25
1.67,6724,509806.35,16.85
3.22,6428,483815.64,2.19
10.58,7586,568306.27,1.28
3.11,7348,494942.79,1.6
19.14,7038,469219.17,3.87
1.64,7379,545670.98,19.47
1.49,6373,500377.58,1.96
1.79,6687,564191.17,1.22
4.29,7584,659077.23,3.87
2.81,8574,664644.67,1.72
1.17,8173,659544.44,19.47
5.64,7075,521055.37,2.19
21.59,8658,620691.36,2.17
1.35,7929,535229.56,1.28
15.97,6809,552168.48,16.85
5.92,8151,607874.42,1.15
1.11,10500,596300.29,29.02
1.77,6837,523442.15,6.68
6.07,7983,659502.61,2.5
1.11,10500,756322.63,1.5
1.85,8134,711015.51,1.07
1.13,8805,865533.43,24.11
1.49,8147,796985.96,23.38
1.11,10500,871880.35,3.87
1.42,7729,788813.88,19.47
5.36,7396,758492.25,1.29
3.25,9028,798058.02,1.9
6.23,8563,650751.5,16.85
1.05,10500,651581.44,1.28
4.18,7342,613163.56,7.92
1.33,8583,676855.63,1.49
1.92,7894,700045.76,19.47
6.8,8436,732113.56,5.21
4.59,8878,697142.28,29.02
1.04,10500,706396.62,1.23
4.35,7385,652087.21,1.15
2.28,8758,742302.55,7.92
2.62,8471,729995.87,1.5
7.51,8583,726095.57,3.87
2.9,8676,721173.68,3.01
1.74,8473,734710.53,1.21
6.87,8018,615701.38,5.29
1.67,9192,756348.9,1.38
1.15,8587,798087.7,3.62
1.35,7791,661217.09,1.04
1.52,7984,763340.75,29.02
3.13,8264,833692.79,5.29
1.11,10500,924492.59,6.1
1.56,8523,810567.75,2.76
1.05,10500,916452.34,1.81
1.07,10500,714024.89,1
1.91,6834,702819.64,2.76
1,10500,819542.56,23.38
1.89,7208,808012.71,2.5
2.98,6865,710633.88,3.87
1.21,7537,681873.35,1.17
3.67,6363,582188.25,2.5
3.06,7249,594866.81,23.38
1.6,7282,650127.23,1.96
1.46,6533,576698.84,3.62
2.54,6086,214214.6,2.5
1.1,10500,750526.55,3.01
1.03,10500,609073.67,3.87
2.46,5391,574219.59,2.5
2.25,6236,610920.7,6.68
1.38,6020,646468.08,1.22
2,5230,551093.88,1.07
1.23,5829,569894.91,1.96
1.51,4925,486796.04,2.76
3.3,4728,507278,9.25
1.6,5658,504775.9,1.02
1.16,4981,424006.43,7.92
2.65,4257,417388.35,9.25
1.14,5172,454472.02,1.29
26.67,4342,382013.05,7.92
18.79,5562,425255.22,3.01
4.13,5585,373973.17,1.96
2.18,5365,387107.87,1.89
1.43,4995,343489.24,5.21
1.53,4567,399956.47,24.11
3.28,5016,416821.14,1.04
24.29,6382,531166.81,3.62
1.22,6769,481351.14,16.85
5.98,5428,430537.46,1.21
2.4,6758,464954.13,1.11
3.42,6511,526005.04,6.1
1.06,10500,527034.04,16.85
1,10500,449359.99,1.15
6.36,6396,506556.26,1.04
5.25,7736,594082.42,24.11
1.08,10500,516168.15,5.29
26.75,6036,367979.42,23.38
1.36,7647,584031.91,1.81
1.33,6614,524367.77,16.85
2.93,6433,537445.32,2.17
1.11,10500,692876.5,29.02
1.68,6915,572100.36,1
2.08,7080,674043.48,1.07
2.01,7452,715274.92,1.89
1.59,7118,576284.83,7.92
1.75,6466,563481.42,5.21
3.79,6572,596262.51,1.72
26.94,7297,526977.55,1
1.46,7119,505715.68,8.51
1.11,10500,450330.57,1.81
5.19,5630,417056.92,1.81
1.33,7454,610558.69,2.17
1.04,10500,494908.65,2.5
3.72,6180,503482.5,1.72
2.14,7436,587607.78,2.17
2.26,6887,217734.52,1.15
2.63,7053,565039.47,24.11
1.32,7093,555360.72,5.29
1.81,6210,466361.26,2.5
1.96,6683,581254.74,1.17
1.66,6839,620310.6,16.85
8.96,6339,573208.63,1.15
1.07,10500,599716.91,1.02
1.34,6189,518509.22,5.29
1.49,5904,560676.87,3.62
15.45,6051,521941.08,1.38
2.81,6883,539590.7,1.33
1.69,6445,531125.98,1.02
6.69,5804,458677.09,2.19
1.02,10500,567515.73,2.76
1.73,5986,490074.98,1.96
4.83,6750,581379.01,2.17
1.07,10500,582887.69,2.17
5.08,6392,491530.23,2.5
1,10500,540097.37,1.96
1.63,7017,578820.93,9.25
1.83,7071,636793.74,1.11
1.02,10500,652674.66,2.5
1.21,6496,653536.39,1.02
1.46,5589,624029.64,2.5
1.01,10500,586498.52,1.5
2.86,5080,612885.05,1.52
1.1,10500,620056.59,9.25
2.12,4788,534807.35,6.1
2.52,4984,567310.68,1.15
2.89,5053,528831.82,2.17
1.76,5211,509188.69,1.28
1.14,4740,449473.17,1.9
3.22,4331,426370.41,1.07
4.25,5327,565551.01,7.92
1.67,5327,545849.34,1.52
1.24,4709,471906.48,29.02
6.88,4431,396296.89,1.9
2.23,5590,544263.17,6.1
1.25,5150,487489.2,1.9
2.04,4606,448232.21,1.81
3.75,5321,542000.68,1.17
1.1,10500,578468.84,1.96
1.95,4886,474609.95,7.92
1.26,5311,614980.49,1.17
1.01,10500,522931.11,1.11
1.58,4546,471035.13,3.87
1.34,4352,480638.98,2.19
1.33,3855,452121.69,2.19
3.39,3589,402356.53,1.29
7.36,4604,420489.55,1.04
1.23,4700,424596.19,1.5
1.52,3828,369907.17,8.5
1.35,4000,381816.1,19.47
1.06,10500,428165.44,1.02
1.74,3664,383903.91,5.21
2.24,4025,444811.07,8.5
17.05,4379,390792.38,5.42
3.61,4587,413742.55,1.23
2.04,4305,401489.09,1.11
5.83,3961,375376.81,3.87
1.27,4745,390812.76,24.11
4.81,3903,299618.12,1.29
1.07,10500,421359.9,8.51
9.36,4323,401518.29,7.92
4.29,5030,387987.78,1.96
9.79,4916,339005.77,2.76
6.96,5219,368901.56,3.01
14.01,5342,354540.54,16.85
2.86,5689,459842.54,1.49
4.33,5090,383506.04,19.47
2.59,5887,411724.67,5.21
6.51,5759,379828.32,8.5
10.77,6510,452234.13,23.38
3.68,6579,542116,5.29
5.89,6481,506291.82,8.51
2.01,7117,603693.86,1.17
2.12,6056,543419.67,16.85
7.72,6507,550647.74,1.29
4.14,7422,604540.33,24.11
1.85,7309,652341.46,5.29
1.71,6241,564914.95,3.01
1.87,6044,565972.64,1.02
1.95,6561,634372.04,23.38
2.14,7008,690574.05,3.87
8.98,7287,613303.63,1
1.87,8094,707683.57,8.5
1.07,10500,616575.99,1.04
8.2,5980,481266.12,2.76
16.45,7863,625914.73,1.04
1.15,7685,708370.67,1.15
3.49,6138,528355.79,1.21
2.33,7790,692179.22,1.07
1.63,7464,687553.57,1.29
22.52,6930,553050.73,9.25
4.08,8027,681883.46,6.68
1.15,7556,749698.56,1.23
2.56,6451,540980.57,1.52
1.04,10500,760389.22,1.04
18.45,7395,632076.87,23.38
5.58,8296,672186.78,1.6
1,10500,676330.08,2.19
1.42,7098,651267.81,8.5
1.17,6870,676358.92,2.5
2.3,6533,587387.27,2.17
2.69,8321,752359.86,1.89
6.41,8449,769847.88,1
3.1,8510,673335.08,5.29
4.86,7906,629598.29,1.15
2.68,8283,654994.69,19.47
2.75,7816,582860.2,1.17
1.41,8241,758931.04,1
1.4,6941,599606.32,2.19
34.86,6873,538346.27,3.87
4.12,8604,689333.46,3.87
6.02,7873,615854.22,2.5
23.35,8287,651710.19,5.29
1.59,8486,686028.63,3.01
1.49,6560,528029.37,1.28
1.14,6565,598343.56,2.7
1.56,6559,585562.34,8.51
1.65,7470,717304.28,1.28
1.22,7735,778617.46,24.11
1.04,10500,682453.21,3.87
2.69,6906,615857.68,1.49
2.65,8513,790768.48,1.22
1.1,10500,781255.62,1.89
2.07,7317,649444.09,2.37
1.92,7871,738576.93,6.68
1.01,10500,668505.98,1.81
1.41,6845,623735.85,2.5
14.3,5895,493979.2,1.96
1.65,7991,689640.12,3.62
1.06,10500,584761.08,1.17
2.93,5850,464580.49,16.85
1.82,7300,650862.82,3.62
5.37,6598,509506.69,1.29
1.7,7527,606327.1,1.52
1.36,6692,545096.93,24.11
1.28,6114,551424.11,3.62
3.22,5696,466462.43,6.68
1.17,7054,581512.78,1.5
2.13,5949,452955.14,1.49
1.14,6540,567085.98,9.25
2.42,5612,508949.42,1.29
3.14,6148,535973.61,6.68
9.57,6389,448030.53,1.22
1.6,6820,509340.81,1.04
1.55,5841,421924.37,1.49
2.22,5673,453954.42,2.7
1.65,6637,558280.5,2.37
5.77,6610,514091.16,23.38
1.43,6941,520134.42,2.76
1,10500,464449.12,1.33
1.75,5953,495977.05,1.49
1.22,6183,546801.78,1.96
1.03,10500,467332.15,3.87
3.04,4862,471359.53,23.38
20.01,6149,576073.78,2.5
17.17,6306,461647.61,1.15
1.16,6283,461075.7,9.25
1.25,4460,352109.27,1.52
1.01,10500,325902.62,1.21
1.56,4791,417275.59,7.92
6.67,5160,488822.23,1.89
1.55,6735,541437.9,2.19
2.34,5701,454620.79,3.01
1.35,6227,561433.79,1.21
23.9,5320,459778.46,6.1
2.11,6708,501663.43,3.62
18.79,5840,456162.55,1.52
5.57,6313,461160.72,1.72
2.04,6322,491379.78,1.72
1.93,5763,443399.29,2.76
1.89,5814,463179.46,1.15
19.97,5981,484211.67,3.62
1.23,7411,568310.82,2.37
1.38,5761,448261.56,1.89
2.7,5484,421950.86,2.7
2.9,7333,575485.58,1.49
3.23,7480,588185.27,8.5
1,10500,599466.5,3.01
1,10500,493857.36,1.28
1.21,6457,585850.97,5.42
1.34,5739,546494.36,2.5
1,10500,549923.84,1.28
2.14,5425,559180.3,1.22
2.18,6399,593720.81,1.28
1.36,6297,583716.16,3.62
7.62,5138,432169.52,1.23
1.1,10500,510295.89,3.62
1.54,5208,424138.3,1.23
1.58,5155,449064.39,6.68
1.36,5123,456733.46,1.22
1.68,4618,404238.19,1.33
1.3,4845,438294.78,9.25
1.9,4171,383553.29,1.28
13.26,4794,434871.6,1.6
24.52,5580,380263.67,2.37
1,10500,382737.9,1.04
20.33,4316,341639.53,1.52
1.31,5690,429448.51,1.02
1.55,4659,368631.5,9.25
2.76,4659,413105.66,8.5
6.29,5855,471351.04,1.96
1.41,6011,521168.23,2.37
5.55,5117,405452.1,1.15
1.77,6099,459859.05,1.33
5.25,5780,445079.07,3.62
1,10500,472041.21,1.23
1.77,5797,453768.57,19.47
5.45,6081,484549.23,23.38
1.29,6619,543812.27,1.22
6.42,5817,443986.06,1.96
34.69,6293,414968.47,5.42
1.49,6402,500942.14,1.38
26.46,5487,374459.54,3.87
1.11,10500,533739.35,1.49
1.25,5685,430220.99,1.81
1.03,10500,417670.36,2.7
1.94,5347,449920.62,1.6
2.77,6432,570991.7,8.51
2.87,7034,600180.6,2.19
1.35,6964,592237.64,1.07
2.8,6086,473982.02,2.5
1.46,6867,583677.45,1.38
1.28,6293,462935.23,3.87
1.24,5486,464961.28,5.42
1.83,5099,501653.03,1.04
1.28,5811,586395.11,1.15
6.57,4950,492996.01,3.01
1.45,6407,486840.41,1
1.49,5651,450871.19,1.23
1.29,5106,455206.46,5.29
11,4605,388475.31,1.23
1,10500,511381.21,1.5
1.42,5252,455845.25,6.1
1.21,4740,434224.81,29.02
2.53,4454,427000.82,3.01
5.51,5496,548796.46,2.5
2.01,5538,444689.57,2.7
2.99,5207,433414.65,9.25
1.71,5685,470087.26,1
4.25,5197,369644.55,24.11
3.73,5879,461011.16,1.81
1.03,10500,435817.48,2.76
2.47,4907,399156.76,1.9
11.68,5872,501931.6,1.38
7.77,5974,435365.21,1.23
1.05,10500,477070.63,2.37
1.93,6158,510626.4,9.25
3.37,5772,446869.22,8.5
