Time,Number of players,Total bets,Multiplier
1.18,10952,837126.15,1.04
1.21,11288,879132.83,1.04
1.02,10500,900355.66,2.17
4,12654,940791.83,1.21
13.66,14490,1046234.03,1.81
7.26,14137,925142.58,2.17
1.34,13184,901849.65,1.96
4.91,11037,747708.55,9.25
6.96,14378,987809.12,7.92
3.26,13935,982535.43,1.15
3.39,12844,959322.3,1.38
4.88,13840,1001313.17,1.81
2.85,14490,1074992.78,1.04
1.72,13426,1021983.14,6.68
1.27,12829,998316.46,16.85
1.03,10500,896849.5,23.38
1.37,13175,1091508.89,2.76
22.92,13561,1075948.17,1.02
1.16,15515,1146138.88,1.33
24.19,13910,955982.76,1.52
1.16,14180,1024625.63,1.5
1.16,13581,1038788.86,1.02
1.81,13152,1105998.68,6.68
5.71,15028,1353547.87,23.38
1.15,15519,1161468.55,3.87
21.48,14067,990066.25,16.85
6.23,14197,933406.44,1.96
12.08,14037,921453.18,7.92
1.56,13807,927023.47,2.7
3.96,11942,831837.05,1.02
1.59,15062,1169925.54,16.85
24.01,14223,1054559.97,1.15
2.03,15136,1079223.03,5.29
3.63,14310,1017013.27,5.42
1.23,15534,1216046.37,1.17
1.26,14594,1108596.14,2.5
2.51,14331,1232028.37,9.25
4.24,19426,1751867.02,1.33
6.03,16179,1391741.47,9.25
8.41,16323,1215078.87,7.92
1.84,15733,284276.96,8.5
2.64,14667,1171759.36,5.21
1.72,15953,1375205.26,3.62
22.34,15322,1250789.8,2.5
3.3,15786,1158419.65,3.87
2.86,15190,1110560.85,8.5
1.14,14875,1172100.53,3.87
7.84,13901,1035671.95,1.11
5.27,16726,1162997.72,2.37
2.43,16067,1157060.65,6.1
1.5,15071,1139432.76,29.02
6.35,14841,1026348.39,5.29
1.14,0,1246411.09,1.49
4.26,15911,1238000.66,1.6
1.52,16796,1373569.43,8.51
7.65,16776,1402830.88,19.47
1.1,10500,1259586.27,1.96
1.65,16301,1208604.87,8.51
7.33,17146,1410838.34,1.04
1.57,17102,1315708.42,1.81
1.83,17144,1394795.19,24.11
1.43,17510,1548345.69,1.5
4.46,16787,1468675.85,1.23
1.02,10500,1450478.99,1.72
1.58,16894,1404305.7,5.21
1.66,16615,1502881.84,1.02
1.73,17086,1591578.43,1.33
1.24,16430,1562065.46,1.28
1.39,14988,1481254.49,1.33
1.9,14559,1393046.47,6.68
3.04,15275,1608689.09,1.89
10.23,15768,1296582.91,3.87
1.22,15644,1097115.77,19.47
1.11,10500,1070163.55,8.51
1.18,13563,1196879.93,2.19
1.05,10500,1146640.61,8.51
4.48,12565,1066666.8,19.47
1.65,14894,1250237.38,2.76
1.64,14199,1212768.27,2.76
1.62,13549,1157637.69,2.17
1.05,10500,1230219.14,1
1.98,12827,1155008.88,2.17
1.23,13521,1329376.21,1.23
1.85,11724,1143432.18,1.11
3.3,11683,1241235,1.38
1.4,13212,1168883.33,2.5
27.28,11054,839475.31,1.28
14.23,12508,797185,1.17
1.88,12429,881761.73,1.38
2.66,10920,824464.44,16.85
2.41,12698,812021.06,1.81
1.04,10500,996675.22,1.52
1.59,11509,958208.79,1.96
1.39,12214,1035089.5,1.04
5.97,11744,921713.55,2.17
5.74,13618,917107.2,1.22
1.65,13647,901169.51,8.51
1.84,12146,821219.61,5.42
1.12,10500,1013425.86,1.49
2.81,12523,945713.66,1.22
1.77,14356,1077593.64,2.7
3.17,13300,1099063.31,3.87
1.41,13259,933624.47,1.72
1.27,12204,910942.25,5.21
1.45,11472,918982.91,1.21
1.02,10500,1012409.16,1.17
1.34,11172,719475.18,7.92
1.03,10500,965820.49,9.25
21.84,9783,853877.14,1.15
5.39,12391,898884.71,2.7
6.73,11202,743980.69,2.17
1.45,11805,800505.36,3.87
1.42,9659,715568.24,2.5
1.33,9836,754322.84,1
3.44,10238,795508.34,1.38
2.18,13078,965945.23,1.96
7.03,12506,908178.41,1.52
6.77,12751,850629.51,1.07
1.07,10500,823049.16,1.04
16.99,10271,605104.94,1.81
1.48,13606,904946.72,5.21
2.68,12059,878356.4,2.37
1.9,13359,1013550.69,1.29
1.17,13458,1029974.79,2.7
3.78,12421,956763.97,9.25
2.3,14324,1033714.67,1.07
1.31,13582,1054562.75,8.51
1,10500,1004749.74,2.37
12.03,13869,1118039.71,9.25
1.11,10500,1009166.27,2.5
1.83,12976,975364.05,5.42
7.66,13655,1066503.14,6.68
1.24,14093,1006188.71,1.5
1.69,12815,901279.85,16.85
1.5,13665,1099452.13,16.85
1.67,13545,1163668.68,1.04
1.23,13384,1189411.78,1.17
2.02,12451,1161173.74,3.87
1.2,0,1198819.63,2.37
1,10500,982964.6,1.52
1.35,12118,1153022.16,2.5
1.63,10598,1061241.86,1.96
1,10500,1031381.12,1.81
3.1,10183,971528.81,24.11
8.35,10602,861223.24,24.11
1.28,10926,816470.26,1.96
6.03,9771,693265.36,16.85
5.13,10808,724216.63,9.25
20.78,10860,717062.81,2.17
1.71,11304,752279.55,8.51
1.32,9867,738700.53,2.19
1.6,9516,747509.66,1.29
23.54,10602,755206.18,1.38
2.13,12226,866445.91,6.1
1.28,11409,829064.34,2.19
4.29,9997,716457.92,1.22
1.46,12791,906779.74,1.52
1.53,12091,898728.45,1.28
3.69,11907,866244.55,2.76
2.56,13105,906336.78,2.76
1.57,12766,959895.95,1.22
1.79,11818,909414.94,1.5
1.18,12438,995227.63,1.21
1.07,10500,924684.47,1.33
4.76,10886,857718.47,23.38
1.14,13008,987089.95,2.5
2.65,11181,916667.77,1.49
1.74,12027,991934.11,5.21
1.55,11638,956674.39,3.87
1.49,10842,867186.61,5.42
3.08,10210,836097.28,16.85
1.19,11734,954879.27,3.01
1.64,10014,837621.74,1.29
2.02,9811,849464.49,6.68
2.22,10573,990944.07,2.76
5.72,10429,943771.75,6.1
2.34,10916,849167.06,1.81
2.09,10295,777538.5,3.87
14,10504,705188.25,6.1
1.32,11164,745626.27,2.76
3.19,9697,703101.29,1.23
7.16,11095,783350.04,5.21
1.45,11357,730552.24,2.7
3.34,10720,771965.55,1.6
3.98,12126,872945.73,1.22
3.04,12078,873705.01,1.23
2.62,11950,855903.68,1.52
1.17,11877,769591.61,23.38
1.17,10759,689319.68,1.28
1.86,10600,769314.51,2.7
1.78,12445,1000525.61,2.17
1.03,10500,920530.56,19.47
9.6,11508,789297.38,2.19
1.35,12372,851015.16,29.02
6.19,11862,867445.21,3.01
15.79,12549,817951.61,24.11
1.39,12176,770185.1,1.07
4.49,11222,758582.96,1.38
5.21,13207,876960.61,1.29
1.89,12585,880006.95,1.96
1.25,12421,852940.99,1.17
1.22,12097,831196.45,1.81
4.86,12063,891714.87,1.02
2.23,14701,1049505.7,29.02
1.22,12932,901511.35,1.28
2.08,12170,859273.64,2.5
9.89,13804,1054343.44,6.68
1.8,13663,966332.39,1.96
1.7,12304,870795.62,2.37
1.08,10500,930640.62,3.01
1.5,12506,997290.92,3.01
1.09,10500,1078913.41,1.72
1.06,10500,1064207.06,5.42
2.69,11163,948649.95,3.87
2.34,13244,1086481.02,1.96
1.61,12949,1069259.69,7.92
2.01,11570,887364.74,6.1
2.18,11966,987202.92,2.76
2.5,11848,1004959.77,24.11
8.48,11904,870621.51,1.15
1.32,12319,853085.48,8.51
6.39,10761,694691.67,1.07
4.63,12140,814433.56,8.5
4.53,12275,777529.29,1.23
1.29,12636,783520.49,1.28
9.89,10910,651240.96,2.5
1.31,12821,849869.56,1.07
1.32,12246,791741.19,1
1.19,11956,899817.8,2.7
1.44,11318,899148.59,1.9
6.3,11388,815536.19,1.11
1.72,13482,1017523.92,3.87
1.52,12695,978971.72,6.68
4.87,12024,848337.19,1.02
7.78,13492,863569.18,1.11
2.03,13223,841975.4,3.01
10.94,12176,773485.46,1.38
1,10500,817073.36,19.47
1.2,12362,872102.56,1.6
4.87,11570,835262.2,1.9
7.06,14200,946415.14,8.51
8.89,13826,856864.59,1.38
1.56,12751,805870.54,9.25
8.15,11223,732378.67,2.37
5.04,13216,785382.63,1.49
1.15,13498,916154.86,1.5
3.09,11790,787019.89,1.96
9.22,14645,989690.34,5.42
1.4,14231,959061.82,1.49
1.18,13205,911248.07,5.42
1.05,10500,971632.8,1.72
1.48,12968,971289.81,1.04
3.04,13688,1137482,1.28
2.77,15406,1152529.54,2.5
1.38,15263,1170947.5,1.49
1.29,13504,1118362.66,8.51
2.03,12795,1079413.94,1.15
2.24,14718,1334140.85,1.17
4.51,14556,1171482.58,3.87
2.99,14713,1069237.78,24.11
1,10500,1048850.91,5.21
1.31,13525,995559.28,1.07
1.14,12465,956884.87,1.23
1.15,12026,957331.34,2.37
26.15,11124,852982.36,1.5
1.83,13825,1001547.59,1.96
1.68,12790,972319.35,3.62
3.87,12350,912608.59,23.38
1.26,13963,1035168.11,5.21
1.08,10500,850338.77,2.17
1.06,10500,932863.89,2.37
1.22,11107,896868.67,1.17
1.32,10762,962387.49,1
1.21,10693,940739.87,2.7
2.32,9883,925199.36,1.22
3.14,12182,1179360.61,1.28
1.16,12097,1048274.63,1.28
1.04,10500,880901.94,3.01
2.41,9052,881547.91,1.21
1.98,11019,1138219.23,1.81
1.46,10252,1011036.7,1.21
1.05,10500,815553.19,1.21
1.03,10500,848843.38,1
1.03,10500,818591.17,1.81
1.73,6941,781577.57,2.37
3.02,8105,866334.78,19.47
16.31,9362,774617.45,8.51
1.27,9813,750324.81,1.72
6.76,8335,615219.38,3.87
2.42,9946,808645.94,1.5
2.58,9717,804901.35,2.7
21,10340,693458.74,3.01
2.54,10326,757104.45,3.87
1.19,9943,742100.91,1.38
2.01,8428,651532.93,1.04
1.02,10500,836854.56,1.02
2.54,9700,792283.63,2.37
1.41,11454,957934.7,1.5
9.22,10150,770324.96,1.9
1.95,11403,885612.47,1.81
9.43,10883,763047.02,5.29
1.38,11131,794249.38,6.68
1.09,10500,769357.57,1.9
1.03,10500,808693.92,1.33
1.11,10500,769338.29,6.68
4.42,9324,772988.36,8.51
2.73,12179,970399.3,2.5
3.18,11588,874267.5,1.49
6.63,11741,841651.94,1.9
1.34,11720,834737.55,23.38
19.18,9685,636936.77,5.21
1.5,11677,746753.71,1.52
1.04,10500,792581.73,2.76
1.72,9742,756895.29,1.38
5.27,11553,955079.2,1.33
1.28,12803,992986.81,19.47
21.72,11491,792823.07,5.21
3.48,11375,726796.14,24.11
26.67,11314,734059.79,23.38
16.73,11604,679423.75,2.5
1.51,12352,839171.41,23.38
3.17,9676,718667.01,8.5
2.42,12580,967258.28,2.5
10.4,12643,858661.21,3.87
2.55,13467,877516.27,1.17
1.26,13108,984538.97,1.17
2.36,11445,870028.15,2.37
4.57,14103,1009512.33,1.6
2.87,14553,1063737.11,29.02
3.74,14126,988702.98,3.01
2.02,14645,1075896.58,8.5
12.02,13726,946866.03,2.5
2.56,14852,1047709.34,2.76
1.02,10500,1013981.04,1.29
3.28,12442,902521.75,2.37
1.91,15145,1100456.16,3.01
1.88,14837,1137019.93,5.42
2.64,14657,1213888.87,5.29
4.13,15599,1235269.4,5.21
1.61,15516,1168607.22,1.9
2.19,14169,876940.06,1.9
2.62,15500,1226143.08,1.17
1,10500,1179806.51,1.21
1.13,14417,1237904.24,1.89
2.38,12560,1082205.96,1.07
5.74,14774,1277679.69,5.21
9.26,15188,1036944.72,7.92
1,10500,958952.99,3.01
2.54,13537,1001406.34,3.62
1.5,14947,1156123.1,29.02
1.39,13853,1169574.31,1.02
1.16,13464,1218059.6,1.23
2.74,12378,1113521.42,1.02
1.36,14930,1333985.29,1.96
1.68,13195,1173741.62,1.28
4.21,12991,1116058.32,1.04
12.38,14415,1131888.28,19.47
1.2,13725,984586.14,23.38
2.53,11724,845468.63,1.21
1.33,13951,1124679.93,1.6
1.29,12894,1092786.51,1.33
1.13,12135,1041203.12,1.28
1.1,10500,1041344.14,19.47
2.9,11066,1012400.08,1.5
1.66,13949,1293726.52,3.87
1.09,10500,1111894.97,6.1
2.04,10762,969450.71,1.96
7.68,11958,1092031.25,2.17
1.08,10500,1010198.91,29.02
1.59,10911,955912.86,2.5
1.54,10954,1080342.36,1.29
28.86,10991,958101.27,1.81
8.58,12230,898568.38,19.47
2.57,11690,825249.52,16.85
33.27,10490,752136.83,19.47
2.39,12183,874629.86,1.96
1.55,11399,873650.31,1.96
1.47,10169,777406.81,5.21
10.11,10552,814558.56,2.5
21.84,13653,870117.21,2.5
5.12,13232,924141.62,1.11
21.59,12692,783406.81,1.04
1.49,14277,969574.86,5.42
1.22,10978,844453.02,6.68
3.87,10260,742702.37,3.01
1.07,10500,1081558.39,1.22
3.09,13211,939131.65,6.68
2.76,14840,1035136.96,1.9
1.56,14955,1061395.04,6.68
8.56,13671,942300.31,5.29
1.09,10500,1061469.66,3.87
1.69,14180,936073.32,2.5
20.07,14519,1017133.34,5.42
22.09,15488,926488.11,5.29
2.97,14824,983841.68,6.1
3.63,13212,850846.28,1.72
7.2,14918,992789.99,1.28
1.25,15453,1028616.06,2.76
1.18,12588,836770.07,1.52
1.24,12280,850345.23,1.15
1.01,10500,925190.97,1.22
1.05,10500,1045858.23,29.02
